RequestURI,StartTime,EndTime,Interval,Duration
req2024-05-11T01:49:29.898646Z0.12706043392269428,62923618267200,62953618267200,20,16057873800
req2024-05-11T01:49:29.908177100Z0.8484322054490074,62923627790900,62953627790900,20,12153509600
req2024-05-11T01:49:29.869212900Z0.11439222386384518,62923588304000,62953588304000,20,7609986500
req2024-05-11T01:49:29.901646100Z0.3778037701578474,62923621133500,62953621133500,20,7573430300
req2024-05-11T01:49:29.903646500Z0.41151704891851815,62923622462500,62953622462500,20,16455300700
req2024-05-11T01:49:29.900645200Z0.9392294554694979,62923619816200,62953619816200,20,7516327400
req2024-05-11T01:49:29.890046200Z0.30427402915387447,62923609377700,62953609377700,20,16180268800
req2024-05-11T01:49:29.909174500Z0.9595052538521056,62923628455900,62953628455900,20,11603995500
req2024-05-11T01:49:29.907166Z0.5746473528653425,62923626744000,62953626744000,20,16612520500
req2024-05-11T01:49:29.902646400Z0.9105708451414385,62923621394500,62953621394500,20,16392312700
req2024-05-11T01:49:29.909174500Z0.267782207045564,62923628415800,62953628415800,20,16544870800
req2024-05-11T01:49:29.908177100Z0.45932156163252524,62923627516900,62953627516900,20,16560548100
req2024-05-11T01:49:29.887046600Z0.08098515857365352,62923606615000,62953606615000,20,860202900
req2024-05-11T01:49:29.904154800Z0.6526206059254482,62923625845400,62953625845400,20,16489864000
req2024-05-11T01:49:29.899646900Z0.08330487437884082,62923619281500,62953619281500,20,16069672300
req2024-05-11T01:49:29.898646Z0.8486435334410235,62923618022800,62953618022800,20,16006688000
req2024-05-11T01:49:29.901646100Z0.1001266319175873,62923620658200,62953620658200,20,16242128000
req2024-05-11T01:49:29.909174500Z0.5230045002127744,62923628199800,62953628199800,20,16561954300
req2024-05-11T01:49:29.902646400Z0.17353785530207366,62923622071200,62953622071200,20,7524222200
